Mapped ESPN Team Name,Season,Adjusted Temo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank,Avg Possession Length (Offense),Avg Possession Length (Offense) Rank,Avg Possession Length (Defense),Avg Possession Length (Defense) Rank,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate,OffFT,RankOffFT,Off2PtFG,RankOff2PtFG,Off3PtFG,RankOff3PtFG,DefFT,RankDefFT,Def2PtFG,RankDef2PtFG,Def3PtFG,RankDef3PtFG,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,FG3Rate,RankFG3Rate,OppFG3Rate,RankOppFG3Rate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,AvgHeight,RankAvgHeight,CenterHeight,RankCenterHeight,PFHeight,RankPFHeight,SFHeight,RankSFHeight,SGHeight,RankSGHeight,PGHeight,RankPGHeight,EffectiveHeight,RankEffectiveHeight,Experience,RankExperience,Bench,BenchRank,CenterPts,RankCenterPts,PFPts,RankPFPts,SFPts,RankSFPts,SGPts,RankSGPts,PGPts,RankPGPts,CenterOR,RankCenterOR,PFOR,RankPFOR,SFOR,RankSFOR,SGOR,RankSGOR,PGOR,RankPGOR,CenterDR,RankCenterDR,PFDR,RankPFDR,SFDR,RankSFDR,SGDR,RankSGDR,PGDR,RankPGDR,Net Rating,Net Rating Rank,Active Coaching Length Index,Seed,Post-Season Tournament,Post-Season Tournament Sorting Index,Vulnerable Top 2 Seed?,Tournament Winner?,Tournament Championship?,Final Four?
St. Francis (PA),2025,66.9,201,66.6,254,99.7,299,100.2,310,112.4,293,107.9,223,18.1,247.0,17.9,252.0,51.5643447461629,133,19.5772972044699,321,25.3507014028056,314,23.8488783943329,357,14.3627450980392,354,50.7843137254902,142,34.8529411764706,85,17.2413793103448,285,49.0018148820327,219,33.7568058076225,95,66.6493,254,66.9175,201,100.249,310,99.6743,299,107.927,223,112.435,293,-12.7611,311,52.5888324873096,118,33.4273624823695,194,72.5247524752475,167,6.72601384767557,315,53.4124629080119,280,32.2916666666667,92,74.5098039215686,300,9.23857868020305,167,41.85360094451,111,43.1703204047218,311,50.3311258278146,223,51.0152284263959,162,0.0907719293941587,232,0.122664769451566,355,76.3,317.0,-1.55,326.0,-1.59,343.0,-0.42,242.0,-0.7,271.0,-0.26,226.0,-1.57,343.0,0.644769,349.0,30.37,205.0,18.45,212.0,19.88,168.0,16.17,294.0,22.53,94.0,22.9,104.0,47.33,20.0,23.6,223.0,9.84,333.0,11.37,160.0,7.75,203.0,27.29,142.0,20.37,279.0,18.46,203.0,19.73,65.0,14.08,197.0,-12.700000000000005,7122,13.0,16,March Madness,1,No,No,No,No
Duke,2025,65.7,266,66.6,256,128.0,3,124.3,1,89.8,4,93.1,3,17.0,98.0,19.1,364.0,57.363184079602,5,14.4012015726466,20,35.1800554016621,35,32.089552238806,203,17.9943100995733,241,45.3058321479374,309,36.6998577524893,59,16.9596199524941,297,50.2612826603325,153,32.7790973871734,124,66.5794,256,65.7236,266,124.282,1,127.954,3,93.0646,3,89.7987,4,38.1553,1,58.0145719489982,8,37.719298245614,20,78.4496124031008,17,10.5824446267432,107,43.3962264150943,3,30.8724832214765,33,71.5430861723447,148,9.65391621129326,209,45.3731343283582,51,37.9327902240326,146,58.1039755351682,50,51.3833992094862,171,0.104254097274374,115,0.0803993462031188,20,79.76,1.0,2.7,10.0,1.44,41.0,1.44,31.0,2.68,2.0,4.53,1.0,2.07,11.0,1.95792,128.0,31.04,183.0,15.5,309.0,27.48,10.0,22.47,87.0,16.04,327.0,18.52,232.0,49.84,13.0,17.82,329.0,10.44,325.0,12.46,128.0,9.44,135.0,25.43,196.0,26.95,68.0,14.36,341.0,19.84,63.0,13.42,227.0,38.2,1,3.0,1,March Madness,1,No,No,No,No
Tennessee,2025,63.6,346,65.5,308,120.3,18,114.1,40,89.1,3,96.3,12,18.2,263.0,18.7,351.0,52.803738317757,85,15.9938899746164,98,35.4223433242507,30,35.4101765316719,111,19.952774498229,122,46.7532467532468,272,33.2939787485242,121,19.6920205319645,140,46.2902473168455,299,34.0177321511899,88,65.4662,308,63.6174,346,114.078,40,120.274,18,96.3317,12,89.1215,3,31.1525,5,54.1476754785779,66,34.0168878166466,166,74.3401759530792,105,16.1016949152542,5,46.7043314500942,29,27.8032036613272,1,74.0350877192982,278,9.11577028258888,160,43.0425752855659,82,45.1446280991736,340,60.1598173515982,28,46.5493910690122,52,0.106026911067682,103,0.0885055147471752,91,77.15,189.0,1.27,53.0,1.23,49.0,-0.39,238.0,0.68,95.0,-3.04,354.0,1.25,51.0,2.9304,14.0,25.27,311.0,16.91,253.0,19.44,189.0,27.81,12.0,15.85,332.0,19.96,182.0,34.81,203.0,33.36,55.0,7.79,350.0,15.83,55.0,8.18,185.0,28.17,114.0,23.89,159.0,17.32,240.0,16.93,153.0,13.65,215.0,31.200000000000003,29,10.0,2,March Madness,1,No,No,No,No
Houston,2025,61.4,360,62.4,360,123.2,10,116.9,18,87.8,2,91.9,1,19.5,344.0,18.8,354.0,52.6763381690845,89,14.6193081273638,27,36.1351819757366,15,28.1640820410205,317,16.5279429250892,311,50.8917954815696,138,32.5802615933413,146,21.2273641851107,56,43.7625754527163,341,35.010060362173,62,62.4183,360,61.4223,360,116.89,18,123.222,10,91.9137,1,87.7825,2,35.4396,3,49.0076335877863,268,39.7677793904209,4,74.0674955595027,112,15.8266129032258,6,43.8508064516129,5,30.8921438082557,35,70.9243697478992,121,6.56488549618321,8,34.4672336168084,296,43.0866322432587,308,44.4323144104804,331,55.0224887556222,265,0.124911809948994,28,0.0777229039682631,15,76.82,242.0,-1.39,304.0,0.2,144.0,-0.74,282.0,-0.21,207.0,0.24,166.0,-0.6,257.0,2.64574,40.0,29.83,221.0,15.24,314.0,18.66,217.0,19.18,199.0,21.57,131.0,25.35,49.0,46.22,24.0,26.63,169.0,9.12,340.0,13.43,108.0,4.6,334.0,26.46,160.0,20.71,268.0,17.52,231.0,23.31,11.0,11.99,300.0,35.400000000000006,6,11.0,1,March Madness,1,No,No,No,No
Florida,2025,69.6,59,70.8,44,128.6,1,120.4,5,92.4,10,97.7,20,16.3,42.0,17.5,145.0,55.0068902158934,37,15.0309598326664,38,38.1493506493507,8,32.5677537896187,189,17.5275482093664,272,47.6584022038568,241,34.8140495867769,88,20.4757858963466,90,50.4672897196262,141,29.0569243840272,280,70.8342,44,69.5872,59,120.446,5,128.599,1,97.6802,20,92.4369,10,36.1625,2,56.3517915309446,27,35.5110642781876,84,71.7912552891396,201,12.2874806800618,49,45.9041731066461,15,29.6103896103896,8,70.6744868035191,109,8.63192182410423,110,43.5920992191089,75,37.3062015503876,121,52.3809523809524,153,46.3503649635037,48,0.109202829723515,82,0.0884418354795011,90,77.93,79.0,1.52,39.0,1.89,17.0,-0.58,265.0,-0.01,189.0,0.8,113.0,1.71,22.0,2.42082,62.0,29.72,225.0,17.52,232.0,17.65,259.0,19.39,192.0,23.69,64.0,21.71,134.0,40.12,93.0,34.83,42.0,8.98,342.0,6.21,319.0,9.75,127.0,30.43,63.0,25.08,113.0,13.21,350.0,15.7,203.0,15.5,132.0,36.19999999999999,5,3.0,1,March Madness,1,No,No,No,No
UC San Diego,2025,65.6,271,66.9,235,115.2,57,116.4,19,96.5,30,93.8,4,17.4,147.0,18.4,340.0,55.4282596835788,32,13.4443582127873,7,25.6314312441534,307,33.7697763229678,156,18.5244587008821,209,41.5396952686447,356,39.9358460304731,15,19.0452511188463,175,43.659870711089,342,37.2948781700646,20,66.9426,235,65.6497,271,116.383,19,115.243,57,93.8414,4,96.4687,30,18.7742,36,56.0606060606061,31,36.5236523652365,57,74.6365105008078,93,7.465825446898,280,46.1619348054679,20,33.0687830687831,127,75.3937007874016,330,10.0649350649351,250,49.5908346972177,8,44.2882249560633,328,57.2941176470588,57,51.8142235123367,185,0.141912670023866,4,0.0695558810314344,4,77.58,117.0,-1.48,324.0,-1.09,305.0,0.41,129.0,1.5,34.0,2.55,10.0,-1.28,325.0,1.11787,295.0,23.08,335.0,16.81,259.0,16.42,301.0,25.17,36.0,24.86,39.0,16.71,290.0,32.64,239.0,23.01,236.0,24.62,39.0,6.07,322.0,13.6,45.0,24.69,218.0,18.44,319.0,24.45,40.0,19.71,66.0,12.65,274.0,18.700000000000003,580,12.0,12,March Madness,1,No,No,No,No
Auburn,2025,67.6,153,68.9,135,128.4,2,121.0,4,93.4,12,100.8,61,17.3,130.0,17.7,211.0,55.7114721811915,26,13.3689107077304,6,34.3443354148082,51,33.5302806499261,168,18.2146729309722,226,48.933863389953,195,32.8514636790748,138,23.8572050500653,12,50.9360034828037,121,25.206791467131,350,68.8568,135,67.5814,153,121.014,4,128.425,2,100.799,61,93.3782,12,35.0472,4,56.089478044739,30,36.7718446601942,40,74.0088105726872,115,16.4516129032258,4,47.1774193548387,41,29.1981845688351,5,73.4584450402145,259,7.45650372825186,31,40.5711472181192,139,34.7711730668069,51,55.5102040816327,91,40.2313624678663,6,0.100814736484524,143,0.0876649882474125,84,78.43,27.0,1.11,67.0,0.55,110.0,1.44,30.0,2.02,12.0,1.0,86.0,0.83,75.0,2.80085,25.0,33.9,109.0,20.94,118.0,21.07,127.0,18.42,225.0,19.27,245.0,20.29,167.0,45.93,25.0,30.84,87.0,12.63,282.0,5.31,339.0,5.25,314.0,29.62,80.0,24.58,136.0,16.71,267.0,16.22,183.0,12.85,257.0,35.0,8,11.0,1,March Madness,1,No,No,No,No
Alabama State,2025,67.7,142,69.1,120,101.4,270,104.0,228,110.6,256,104.2,129,16.7,66.0,17.9,260.0,47.0559845559846,327,13.2447436289723,5,28.2592313489073,229,29.8745173745174,274,18.1360201511335,234,45.088161209068,311,36.7758186397985,57,21.195652173913,57,47.8260869565217,255,30.9782608695652,200,69.0571,120,67.7449,142,103.998,228,101.409,270,104.201,129,110.646,256,-9.2374,273,45.3547297297297,344,32.8828828828829,222,69.7899838449111,270,8.38481906443072,227,50.4854368932039,159,33.4235453315291,157,69.9310344827586,61,9.12162162162162,161,42.8571428571429,85,39.4764957264957,203,45.3558504221954,320,50.3052503052503,139,0.110154303448879,76,0.0756218035581589,11,76.63,275.0,0.99,81.0,-1.77,349.0,-1.81,349.0,-0.71,272.0,0.43,145.0,-0.39,222.0,1.62317,210.0,36.16,65.0,13.23,349.0,15.43,324.0,21.81,110.0,24.77,40.0,24.74,62.0,38.63,118.0,24.37,207.0,18.36,168.0,7.33,293.0,11.25,93.0,20.87,322.0,23.92,158.0,30.5,3.0,11.28,351.0,13.4,231.0,-9.199999999999989,6369,3.0,16,March Madness,1,No,No,No,No
SIU Edwardsville,2025,65.8,261,67.2,227,101.9,255,104.6,214,106.2,160,100.4,48,17.6,169.0,17.9,255.0,48.9488636363636,271,17.1337838336841,180,31.7604355716878,124,33.0681818181818,177,18.6496694995279,201,50.6137865911237,152,30.7365439093484,197,19.7155468366846,138,48.0627758705248,247,32.2216772927906,145,67.1543,227,65.8164,261,104.645,214,101.883,255,100.352,48,106.2,160,-4.31673,217,47.7718360071301,296,34.012539184953,167,67.8694158075601,317,11.531190926276,72,46.3137996219282,23,32.9819277108434,123,70.2797202797203,82,8.02139037433155,63,36.25,251,38.5598141695703,170,51.394422310757,191,48.6600846262341,98,0.0925618207107074,215,0.0974853218123408,191,77.21,178.0,0.51,128.0,0.77,86.0,-1.11,305.0,-0.01,188.0,-0.12,206.0,0.64,93.0,1.53234,226.0,25.27,310.0,19.42,172.0,19.27,197.0,13.62,344.0,17.76,285.0,29.92,8.0,34.71,205.0,30.19,99.0,10.91,314.0,14.38,85.0,9.81,124.0,24.18,232.0,24.39,142.0,14.58,333.0,16.99,148.0,19.86,28.0,-4.299999999999997,5059,6.0,16,March Madness,1,No,No,No,No
Alabama,2025,74.9,1,76.3,1,126.5,4,118.7,9,96.6,32,106.1,176,14.9,4.0,16.5,12.0,56.3499529633114,15,16.6546624174913,149,34.718826405868,40,40.1222953904045,25,20.3192550714998,101,45.360824742268,304,34.3199201862321,103,19.9478972832155,124,52.9214737625605,57,27.130628954224,328,76.2512,1,74.8544,1,118.725,9,126.511,4,106.121,176,96.5793,32,29.9312,6,59.6675415573053,4,34.9949135300102,114,71.6295427901524,210,10.082304526749,129,48.7654320987654,94,30.7984790874525,30,70.4336399474376,91,12.2484689413823,344,46.2370649106303,41,35.1134846461949,58,54.093567251462,115,43.7106918238994,21,0.0789320493719969,321,0.101822343689876,234,78.08,59.0,1.61,33.0,3.13,1.0,0.24,144.0,-0.5,255.0,-0.12,206.0,2.37,5.0,2.98715,9.0,38.5,34.0,15.83,300.0,19.18,200.0,18.67,217.0,21.19,146.0,25.09,53.0,29.44,293.0,28.82,126.0,26.7,28.0,9.97,212.0,5.01,322.0,27.25,144.0,29.59,25.0,19.81,156.0,11.89,336.0,11.4,320.0,29.90000000000001,47,6.0,2,March Madness,1,No,No,No,No
